Name,Sport,Age,Height (cm),Weight (kg),Sex
A G Kruger,Athletics,33,193,125,M
A Lam Shin,Fencing,25,167,57,F
Aaron Brown,Athletics,20,198,79,M
Aaron Sarmiento,Sailing,25,180,72,M
Aaron Younger,Water Polo,20,193,100,M
Aauri Lorena Bokesa,Athletics,23,183,71,F
Abby Bishop,Basketball,23,189,85,F
Abdalaati Iguider,Athletics,25,173,57,M
Abdelaziz Merzougui,Athletics,20,175,62,M
Abdellatif Meftah,Athletics,30,173,59,M
Abdelrahman Eltrabily,Wrestling,22,190,120,M
Abderrahime Bouramdane,Athletics,34,170,58,M
Abdihakem Abdirahman,Athletics,35,180,61,M
Abdou Omar Abdou Ahmed,Wrestling,23,172,66,M
Abdouraim Haroun,Athletics,20,174,72,M
Abdul Buhari,Athletics,30,192,125,M
Abdulkhakim Shapiyev,Wrestling,28,174,74,M
Abdullah Alrashidi,Shooting,48,180,95,M
Abdusalam Gadisov,Wrestling,23,178,84,M
Abeba Aregawi,Athletics,22,170,52,F
Abel Kiprop Mutai,Athletics,23,187,73,M
Abigail Edmonds,Canoe Sprint,21,172,70,F
Abigail Johnston,Diving,22,165,61,F
Abigail Walker,Hockey,30,175,72,F
Abigel Joo,Judo,21,183,78,F
Abouhalima Abouhalima,Wrestling,18,153,55,M
Abraham Kiplimo,Athletics,23,165,52,M
Abraham Kiprotich,Athletics,26,177,62,M
Abrar Osman Adem,Athletics,18,168,58,M
Abubaker Kaki,Athletics,23,176,63,M
Adam Brown,Swimming,23,196,95,M
Adam Cwalina,Badminton,27,186,82,M
Adam Gibson,Basketball,25,190,95,M
Adam Korol,Rowing,37,193,93,M
Adam Kszczot,Athletics,22,178,68,M
Adam Marosi,Modern Pentathlon,28,181,75,M
Adam Okruashvili,Judo,23,193,120,M
Adam Pattantyus,Table Tennis,33,175,71,M
Adam Rutter,Athletics,25,173,60,M
Adam Scholefield,Water Polo,27,189,99,M
Adam Skrodzki,Fencing,28,183,77,M
Adam Steinmetz,Water Polo,31,198,104,M
Adam van Koeverden,Canoe Sprint,30,182,85,M
Adam Vella,Shooting,41,178,91,M
Adam White,Volleyball,22,203,90,M
Adam Wright,Water Polo,35,192,88,M
Adama Ouedraogo,Swimming,25,177,72,M
Ade Alleyne-Forte,Athletics,23,180,73,M
Adela Sykorova,Shooting,25,171,57,F
Adelina Cojocariu,Rowing,23,185,79,F
Adelinde Cornelissen,Equestrian,33,170,56,F
Adenizia Silva,Volleyball,25,183,62,F
Adil Annani,Athletics,32,172,56,M
Adnan Taess Akkar,Athletics,32,165,78,M
Adonia Steryiou,Athletics,27,180,59,F
Adonis Tsotras,Sailing,22,184,95,M
Adrian Crisan,Table Tennis,32,185,86,M
Adrian Gavira Collado,Beach Volleyball,24,193,90,M
Adrian Ungur,Tennis,27,178,73,M
Adriana Kostiw,Sailing,38,170,70,F
Adrianti Firdasari,Badminton,25,170,58,F
Adriatik Hoxha,Athletics,22,194,130,M
Adrien Deghelt,Athletics,27,185,77,M
Adrien Hardy,Rowing,34,197,87,M
Adrien Mattenet,Table Tennis,24,188,75,M
Adrienn Toth,Modern Pentathlon,21,173,58,F
Adrienne Lyle,Equestrian,27,180,75,F
Adrienne Martelli,Rowing,24,185,79,F
Adysangela Moniz,Judo,25,166,105,F
Adzo Kpossi,Swimming,13,158,53,F
Afa Ismail,Athletics,18,157,45,F
Afanasijs Kuzmins,Shooting,65,178,89,M
Afef Ben Ismail,Canoe Sprint,18,173,60,F
Afonso Domingos,Sailing,43,174,91,M
Agata Bednarek,Athletics,24,175,57,F
Agnes Mutina,Swimming,24,170,63,F
Agnese Allegrini,Badminton,30,162,57,F
Agnese Pastare,Athletics,23,179,70,F
Agnieszka Dygacz,Athletics,27,160,48,F
Agnieszka Jerzyk,Triathlon,24,170,58,F
Agnieszka Nagay,Shooting,31,169,61,F
Agnieszka Skrzypulec,Sailing,23,166,56,F
Agustin Mazzilli,Hockey,23,173,77,M
Ahmad Hazer,Athletics,22,188,80,M
Ahmad Saber Hamcho,Equestrian,19,168,72,M
Ahmadreza Talebian,Canoe Sprint,23,185,79,M
Ahmed Al Hatmi,Shooting,27,170,70,M
Ahmed Awad,Judo,25,165,66,M
Ahmed El-Nemr,Archery,33,183,84,M
Ahmed Gebrel,Swimming,21,180,73,M
Ahmed Ghithe G Atari,Swimming,18,179,70,M
Ahmed Habash,Sailing,28,178,79,M
Ahmed Husam,Swimming,16,175,56,M
Ahmed Kadhi,Volleyball,23,198,97,M
Ahmed Mathlouthi,Swimming,22,190,90,M
Ahmed Mohamed Al-Merjabi,Athletics,21,170,65,M
Ahmed Saleh,Table Tennis,32,179,84,M
Ahmed Yousef Elkawiseh,Judo,23,172,66,M
Ahmed Zaher,Shooting,22,172,72,M
Ahmet Peker,Wrestling,26,160,55,M
Ai Fukuhara,Table Tennis,23,156,48,F
Ai Kondo,Sailing,31,160,58,F
Ai Murakami,Hockey,27,158,53,F
Ai Otomo,Volleyball,30,184,68,F
Ai Wen Yu,Shooting,16,155,53,F
Aia Mohamed,Table Tennis,18,161,57,F
Aicha Fall,Athletics,18,160,46,F
Aichen Wang,Sailing,27,187,74,M
Aida Mohamed,Fencing,36,162,56,F
Aida Roman,Archery,24,168,61,F
Aida Shanaeva,Fencing,26,178,68,F
Aidan Roach,Water Polo,21,186,92,M
Aidan Zingel,Volleyball,21,207,98,M
Aiga Grabuste,Athletics,24,178,55,F
Aileen Morrison,Triathlon,30,172,54,F
Aimee Willmott,Swimming,19,172,56,F
Aina Fils Rabetsara,Swimming,18,167,55,F
Ainars Kovals,Athletics,30,191,100,M
Ainhoa Murua,Triathlon,34,160,46,F
Airine Palsyte,Athletics,20,186,62,F
Aisling D'hooghe,Hockey,17,169,63,F
Aissata Toure,Athletics,21,164,57,F
Aisuluu Tynybekova,Wrestling,19,170,63,F
Ajmal Faizzada,Judo,25,173,66,M
Ak Hafiy Tajuddin Rositi,Athletics,21,175,64,M
Akane Shibata,Hockey,24,152,50,F
Akari Ogata,Judo,21,171,76,F
Akeem Haynes,Athletics,20,168,150,M
Akemi Kato,Hockey,41,161,58,F
Aki Mitsuhashi,Hockey,22,166,55,F
Akihiko Nakamura,Athletics,21,180,73,M
Akiko Iwamoto,Rowing,33,173,60,F
Akos Molnar,Swimming,25,194,90,M
Aksana Dziamidava,Swimming,18,167,54,F
Aksana Miankova,Athletics,30,184,81,F
Akvile Stapusaityte,Badminton,26,166,56,F
Akzhurek Tanatarov,Wrestling,25,170,66,M
Alaaeldin Abouelkassem,Fencing,21,188,82,M
Alain Bernard,Swimming,29,196,90,M
Alain Schmitt,Judo,28,176,81,M
Alan Campbell,Rowing,29,191,96,M
Alan Gogaev,Wrestling,22,170,66,M
Alan Khugaev,Wrestling,23,178,84,M
Alan Wills,Archery,31,179,84,M
Alana Boyd,Athletics,28,171,59,F
Alana Millington,Hockey,24,171,67,F
Alana Nicholls,Canoe Sprint,26,172,66,F
Alastair Wilson,Hockey,28,187,84,M
Albert Bravo,Athletics,24,198,85,M
Albert Espanol Lifante,Water Polo,26,189,86,M
Albert Minczer,Athletics,25,179,63,M
Albert Subirats Altes,Swimming,25,193,88,M
Alberto Aguilar,Athletics,27,194,80,M
Alberto Fernandez,Shooting,29,180,106,M
Alberto Michan Halbinger,Equestrian,33,173,70,M
Alberto Paulo,Athletics,26,174,59,M
Albina Mayorova,Athletics,35,167,50,F
Aldo Montano,Fencing,33,185,80,M
Alec Page,Swimming,18,179,73,M
Aleh Yurenia,Canoe Sprint,22,186,90,M
Alejandra Benitez,Fencing,32,162,58,F
Alejandra Orozco Loza,Diving,15,156,47,F
Alejandra Valencia,Archery,17,176,74,F
Alejandra Zavala,Shooting,28,163,82,F
Alejandro Falla,Tennis,28,181,82,M
Alejandro Foglia Costa,Sailing,28,189,84,M
Alejandro Gomez Perez,Swimming,27,184,77,M
Alejandro Madorno,Equestrian,40,183,73,M
Alejandro Zuniga,Judo,24,163,66,M
Aleks Maric,Basketball,27,211,125,M
Aleksa Saponjic,Water Polo,20,191,98,M
Aleksandar Aleksandrov,Rowing,22,189,94,M
